identificadorEmpenho,numeroEmpenho,anoEmpenho,processoEmpenho,numeroDocumento,codigoOrgao,codigoUnidade,dataEmissao,dataVencimento,dataPagamento,cpfCnpjCredor,razaoSocialCredor,valorDocumento,valorCancelado,valorPago,tipoDocumento,tipoPagamento,processoPagamento,nrNLP,anoNLP,codigoEmpresa,modifiedMode,usuarioOperacao
2429793,18879,2021,6074202000060223,286452529,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,87.51,0.0,87.51,FATURA,BAIXA TENSÃO,6074202100008517,47678,2021,01,5,
2429793,18879,2021,6074202000060223,285241275,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,318.45,0.0,318.45,FATURA,BAIXA TENSÃO,6074202100008517,47550,2021,01,5,
2429793,18879,2021,6074202000060223,286434455,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,51.04,0.0,51.04,FATURA,BAIXA TENSÃO,6074202100008517,47671,2021,01,5,
2429793,18879,2021,6074202000060223,286452529,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,87.51,0.0,87.51,FATURA,BAIXA TENSÃO,6074202100008517,47678,2021,01,5,
2429793,18879,2021,6074202000060223,289644024,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,205.03,0.0,205.03,FATURA,BAIXA TENSÃO,6074202100023230,95364,2021,01,5,
2429793,18879,2021,6074202000060223,285241275,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,318.45,0.0,318.45,FATURA,BAIXA TENSÃO,6074202100008517,47550,2021,01,5,
2429793,18879,2021,6074202000060223,286434455,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,51.04,0.0,51.04,FATURA,BAIXA TENSÃO,6074202100008517,47671,2021,01,5,
2429793,18879,2021,6074202000060223,286452529,34,10,08/02/2021 09:34:28,23/02/2021 00:00:00,10/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,87.51,0.0,87.51,FATURA,BAIXA TENSÃO,6074202100008517,47678,2021,01,5,
2429793,18879,2021,6074202000060223,291649124,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,166.22,0.0,166.22,FATURA,BAIXA TENSÃO,6074202100023230,95370,2021,01,5,
2429793,18879,2021,6074202000060223,291649124,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,166.22,0.0,166.22,FATURA,BAIXA TENSÃO,6074202100023230,95370,2021,01,5,
2429793,18879,2021,6074202000060223,286905905,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,229.09,0.0,229.09,FATURA,BAIXA TENSÃO,6074202100023230,95140,2021,01,5,
2429793,18879,2021,6074202000060223,286905904,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,93.53,0.0,93.53,FATURA,BAIXA TENSÃO,6074202100023230,95135,2021,01,5,
2429793,18879,2021,6074202000060223,290841899,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,200.21,0.0,200.21,FATURA,BAIXA TENSÃO,6074202100023230,95337,2021,01,5,
2429793,18879,2021,6074202000060223,286905905,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,229.09,0.0,229.09,FATURA,BAIXA TENSÃO,6074202100023230,95140,2021,01,5,
2429793,18879,2021,6074202000060223,286905905,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,229.09,0.0,229.09,FATURA,BAIXA TENSÃO,6074202100023230,95140,2021,01,5,
2429793,18879,2021,6074202000060223,290841899,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,200.21,0.0,200.21,FATURA,BAIXA TENSÃO,6074202100023230,95337,2021,01,5,
2429793,18879,2021,6074202000060223,286905905,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,229.09,0.0,229.09,FATURA,BAIXA TENSÃO,6074202100023230,95140,2021,01,5,
2429793,18879,2021,6074202000060223,286905904,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,93.53,0.0,93.53,FATURA,BAIXA TENSÃO,6074202100023230,95135,2021,01,5,
2429793,18879,2021,6074202000060223,292464732,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,291.56,0.0,291.56,FATURA,BAIXA TENSÃO,6074202100023230,95332,2021,01,5,
2429793,18879,2021,6074202000060223,287289208,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,205.03,0.0,205.03,FATURA,BAIXA TENSÃO,6074202100023230,95137,2021,01,5,
2429793,18879,2021,6074202000060223,289265757,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,225.93,0.0,225.93,FATURA,BAIXA TENSÃO,6074202100023230,95183,2021,01,5,
2429793,18879,2021,6074202000060223,294035073,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,208.1,0.0,208.1,FATURA,BAIXA TENSÃO,6074202100023230,95149,2021,01,5,
2429793,18879,2021,6074202000060223,290474415,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,233.0,0.0,233.0,FATURA,BAIXA TENSÃO,6074202100023230,95106,2021,01,5,
2429793,18879,2021,6074202000060223,294046200,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,282.03,0.0,282.03,FATURA,BAIXA TENSÃO,6074202100023230,95146,2021,01,5,
2429793,18879,2021,6074202000060223,292821806,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,241.16,0.0,241.16,FATURA,BAIXA TENSÃO,6074202100023230,95133,2021,01,5,
2429793,18879,2021,6074202000060223,288070192,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,394.76,0.0,394.76,FATURA,BAIXA TENSÃO,6074202100023230,95385,2021,01,5,
2429793,18879,2021,6074202000060223,294516985,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,104.49,0.0,104.49,FATURA,BAIXA TENSÃO,6074202100023230,95164,2021,01,5,
2429793,18879,2021,6074202000060223,294516976,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,207.73,0.0,207.73,FATURA,BAIXA TENSÃO,6074202100023230,95166,2021,01,5,
2429793,18879,2021,6074202000060223,292821806,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,241.16,0.0,241.16,FATURA,BAIXA TENSÃO,6074202100023230,95133,2021,01,5,
2429793,18879,2021,6074202000060223,290503198,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,84.93,0.0,84.93,FATURA,BAIXA TENSÃO,6074202100023230,95124,2021,01,5,
2429793,18879,2021,6074202000060223,289656806,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,185.1,0.0,185.1,FATURA,BAIXA TENSÃO,6074202100023230,95352,2021,01,5,
2429793,18879,2021,6074202000060223,288921546,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,232.71,0.0,232.71,FATURA,BAIXA TENSÃO,6074202100023230,95153,2021,01,5,
2429793,18879,2021,6074202000060223,292061083,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,255.29,0.0,255.29,FATURA,BAIXA TENSÃO,6074202100023230,95114,2021,01,5,
2429793,18879,2021,6074202000060223,292482443,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,22/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,108.12,0.0,108.12,FATURA,BAIXA TENSÃO,6074202100039684,144040,2021,01,5,
2429793,18879,2021,6074202000060223,290058024,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,126.5,0.0,126.5,FATURA,BAIXA TENSÃO,6074202100023230,95179,2021,01,5,
2429793,18879,2021,6074202000060223,289656806,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,185.1,0.0,185.1,FATURA,BAIXA TENSÃO,6074202100023230,95352,2021,01,5,
2429793,18879,2021,6074202000060223,288921546,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,232.71,0.0,232.71,FATURA,BAIXA TENSÃO,6074202100023230,95153,2021,01,5,
2429793,18879,2021,6074202000060223,291231046,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,260.9,0.0,260.9,FATURA,BAIXA TENSÃO,6074202100023230,95101,2021,01,5,
2429793,18879,2021,6074202000060223,288070192,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,394.76,0.0,394.76,FATURA,BAIXA TENSÃO,6074202100023230,95385,2021,01,5,
2429793,18879,2021,6074202000060223,292061083,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,255.29,0.0,255.29,FATURA,BAIXA TENSÃO,6074202100023230,95114,2021,01,5,
2429793,18879,2021,6074202000060223,292482443,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,22/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,108.12,0.0,108.12,FATURA,BAIXA TENSÃO,6074202100039684,144040,2021,01,5,
2429793,18879,2021,6074202000060223,290058024,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,126.5,0.0,126.5,FATURA,BAIXA TENSÃO,6074202100023230,95179,2021,01,5,
2429793,18879,2021,6074202000060223,292061083,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,255.29,0.0,255.29,FATURA,BAIXA TENSÃO,6074202100023230,95114,2021,01,5,
2429793,18879,2021,6074202000060223,293668529,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,275.41,0.0,275.41,FATURA,BAIXA TENSÃO,6074202100023230,95142,2021,01,5,
2429793,18879,2021,6074202000060223,288885574,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,12/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,174.23,0.0,174.23,FATURA,BAIXA TENSÃO,6074202100037363,137795,2021,01,5,
2429793,18879,2021,6074202000060223,290425005,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,230.16,0.0,230.16,FATURA,BAIXA TENSÃO,6074202100023230,95128,2021,01,5,
2429793,18879,2021,6074202000060223,290440737,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,235.08,0.0,235.08,FATURA,BAIXA TENSÃO,6074202100023230,95152,2021,01,5,
2429793,18879,2021,6074202000060223,293232422,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,362.04,0.0,362.04,FATURA,BAIXA TENSÃO,6074202100023230,95172,2021,01,5,
2429793,18879,2021,6074202000060223,289264302,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,273.19,0.0,273.19,FATURA,BAIXA TENSÃO,6074202100023230,95117,2021,01,5,
2429793,18879,2021,6074202000060223,287289208,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,205.03,0.0,205.03,FATURA,BAIXA TENSÃO,6074202100023230,95137,2021,01,5,
2429793,18879,2021,6074202000060223,289265757,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,225.93,0.0,225.93,FATURA,BAIXA TENSÃO,6074202100023230,95183,2021,01,5,
2429793,18879,2021,6074202000060223,290443219,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,64.78,0.0,64.78,FATURA,BAIXA TENSÃO,6074202100023230,95341,2021,01,5,
2429793,18879,2021,6074202000060223,292448112,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,01/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,241.63,0.0,241.63,FATURA,MÉDIA TENSÃO CONTA,6074202100036642,130968,2021,01,5,
2429793,18879,2021,6074202000060223,287342737,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,16/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,426.65,0.0,426.65,FATURA,BAIXA TENSÃO,6074202100038912,140899,2021,01,5,
2429793,18879,2021,6074202000060223,292040256,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,209.72,0.0,209.72,FATURA,BAIXA TENSÃO,6074202100023230,95326,2021,01,5,
2429793,18879,2021,6074202000060223,287342737,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,16/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,426.65,0.0,426.65,FATURA,BAIXA TENSÃO,6074202100038912,140899,2021,01,5,
2429793,18879,2021,6074202000060223,287342737,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,16/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,426.65,0.0,426.65,FATURA,BAIXA TENSÃO,6074202100038912,140899,2021,01,5,
2429793,18879,2021,6074202000060223,299251251,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,225.58,0.0,225.58,FATURA,BAIXA TENSÃO,6074202100023052,95751,2021,01,5,
2429793,18879,2021,6074202000060223,296082715,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,24/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,456.96,0.0,456.96,FATURA,BAIXA TENSÃO,6074202100028771,98506,2021,01,5,
2429793,18879,2021,6074202000060223,285243459,34,10,10/03/2021 08:26:15,23/02/2021 00:00:00,15/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,200.57,0.0,200.57,FATURA,BAIXA TENSÃO,6074202100008517,49682,2021,01,5,
2429793,18879,2021,6074202000060223,285243459,34,10,10/03/2021 08:26:15,23/02/2021 00:00:00,15/03/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,200.57,0.0,200.57,FATURA,BAIXA TENSÃO,6074202100008517,49682,2021,01,5,
2429793,18879,2021,6074202000060223,290503198,34,10,02/03/2021 18:52:59,23/03/2021 00:00:00,18/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,84.93,0.0,84.93,FATURA,BAIXA TENSÃO,6074202100023230,95124,2021,01,5,
2429793,18879,2021,6074202000060223,294910655,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,24/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,205.27,0.0,205.27,FATURA,BAIXA TENSÃO,6074202100028771,98521,2021,01,5,
2429793,18879,2021,6074202000060223,298851438,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,282.55,0.0,282.55,FATURA,BAIXA TENSÃO,6074202100023052,95812,2021,01,5,
2429793,18879,2021,6074202000060223,300859351,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,207.08,0.0,207.08,FATURA,BAIXA TENSÃO,6074202100023052,95707,2021,01,5,
2429793,18879,2021,6074202000060223,296117122,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,15/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,215.89,0.0,215.89,FATURA,BAIXA TENSÃO,6074202100039447,140225,2021,01,5,
2429793,18879,2021,6074202000060223,299251251,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,225.58,0.0,225.58,FATURA,BAIXA TENSÃO,6074202100023052,95751,2021,01,5,
2429793,18879,2021,6074202000060223,296082715,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,24/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,456.96,0.0,456.96,FATURA,BAIXA TENSÃO,6074202100028771,98506,2021,01,5,
2429793,18879,2021,6074202000060223,301269739,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,24/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,292.42,0.0,292.42,FATURA,BAIXA TENSÃO,6074202100028771,98571,2021,01,5,
2429793,18879,2021,6074202000060223,296117122,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,15/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,215.89,0.0,215.89,FATURA,BAIXA TENSÃO,6074202100039447,140225,2021,01,5,
2429793,18879,2021,6074202000060223,297309389,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,284.56,0.0,284.56,FATURA,BAIXA TENSÃO,6074202100023052,95735,2021,01,5,
2429793,18879,2021,6074202000060223,302047630,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,201.01,0.0,201.01,FATURA,BAIXA TENSÃO,6074202100023052,95800,2021,01,5,
2429793,18879,2021,6074202000060223,298490071,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,282.3,0.0,282.3,FATURA,BAIXA TENSÃO,6074202100023052,95676,2021,01,5,
2429793,18879,2021,6074202000060223,302066261,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,333.0,0.0,333.0,FATURA,BAIXA TENSÃO,6074202100023052,95766,2021,01,5,
2429793,18879,2021,6074202000060223,294898781,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,16/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,311.14,0.0,311.14,FATURA,BAIXA TENSÃO,6074202100038912,140902,2021,01,5,
2429793,18879,2021,6074202000060223,300859351,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,207.08,0.0,207.08,FATURA,BAIXA TENSÃO,6074202100023052,95707,2021,01,5,
2429793,18879,2021,6074202000060223,300499211,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,01/07/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,430.78,0.0,430.78,FATURA,MÉDIA TENSÃO CONTA,6074202100036642,130972,2021,01,5,
2429793,18879,2021,6074202000060223,300859351,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,207.08,0.0,207.08,FATURA,BAIXA TENSÃO,6074202100023052,95707,2021,01,5,
2429793,18879,2021,6074202000060223,300859351,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,207.08,0.0,207.08,FATURA,BAIXA TENSÃO,6074202100023052,95707,2021,01,5,
2429793,18879,2021,6074202000060223,298518951,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,130.69,0.0,130.69,FATURA,BAIXA TENSÃO,6074202100023052,95679,2021,01,5,
2429793,18879,2021,6074202000060223,300064003,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,229.33,0.0,229.33,FATURA,BAIXA TENSÃO,6074202100023052,95728,2021,01,5,
2429793,18879,2021,6074202000060223,302478777,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,294.38,0.0,294.38,FATURA,BAIXA TENSÃO,6074202100023052,95774,2021,01,5,
2429793,18879,2021,6074202000060223,296868888,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,24/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,231.78,0.0,231.78,FATURA,BAIXA TENSÃO,6074202100028771,98564,2021,01,5,
2429793,18879,2021,6074202000060223,298518951,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,130.69,0.0,130.69,FATURA,BAIXA TENSÃO,6074202100023052,95679,2021,01,5,
2429793,18879,2021,6074202000060223,297665293,34,10,06/04/2021 18:04:44,23/04/2021 00:00:00,19/05/2021 00:00:00,61695227000517,ELETROPAULO ELET.DE SAO PAULO S/A,198.22,0.0,198.22,FATURA,BAIXA TENSÃO,6074202100023052,95814,2021,01,5,
