ano,numCpfCnpj,txtRazaoSocial,qtd_empenhos,valTotalEmpenhado,valEmpenhadoLiquido,valLiquidado,valPagoExercicio
2021,60498417000158,SAO PAULO TRANSPORTE SA,1,9734444.12,9295509.8,9295509.8,9295509.8
2021,33113646000134,HABITA LOTE 12 SA,4,8495009.05,8395362.41,8395362.41,8395362.41
2021,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,4,7361421.27,7173208.16,7173208.16,7173208.16
2021,66806555000133,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,4,6611978.68,6611978.68,6611978.68,6611978.68
2021,53591103000130,FLORESTANA CONSTRUCOES E SERVICOS LTDA,2,5297933.43,4949675.44,4949675.44,4949675.44
2021,02120261000170,SHOP SIGNS OBRAS E SERVICOS LTDA,2,5578923.82,4365935.22,4365935.22,4365935.22
2021,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,1,1667244.1,1665562.25,1665562.25,1665562.25
2021,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,2,910459.55,400394.77,159193.96,159193.96
2021,66748955000130,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,1,66339.4,0.0,0.0,0.0
2022,02542939000103,FBF CONSTRUCOES E SERVICOS LTDA,4,14855943.02,7580034.82,1479498.13,0.0
2022,33113646000134,HABITA LOTE 12 SA,6,19976227.96,7431360.38,5819932.49,5819932.49
2022,57646374000104,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,5,6507566.96,5893014.27,2924908.46,2924908.46
2022,68976224000177,SANED ENGENHARIA  E EMPREENDIMENTOS S.A,4,8759256.11,5610847.44,4224890.0,4224890.0
2022,71654446000188,MC ENGENHARIA  E CONSTRUCOES SA,2,5577686.22,5577231.12,0.0,0.0
2022,66748955000130,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,4,4864374.74,4770428.95,4770428.95,4770428.95
2022,47627898000196,EPURA ENGENHARIA E CONSTRUCOES LTDA,1,2178999.55,2047341.36,1855678.56,1855678.56
2022,54883194000140,TRANSVIAS CONSTRUCOES E TERRAPLENAGEM LTDA,1,4946819.54,1754550.34,1751576.74,1749441.76
2022,62533278000181,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,2,1561094.08,1138581.32,1138581.32,1138581.32
2022,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,3,1048675.9,1048675.9,1048675.9,1048675.9
2022,02243019000194,CONSITEC  ENGENHARIA E TECNOLOGIA LTDA,1,1005677.11,940015.08,0.0,0.0
2022,33298127000198,UNO HABITACAO SA,2,9305681.67,829508.91,587971.2,587971.2
2022,06273115000136,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,3,761520.3,702112.92,583464.5,583464.5
2022,18613165000102,FOSSATTI ENGENHARIA EIRELI,4,914556.51,666805.96,228138.98,228138.98
2022,55460554000163,CONSTRUTORA ITAJAI LTDA,1,480183.25,480183.25,480183.25,480183.25
2022,03069088000196,MUDE CONSTRUTORA E INCORPORADORA LTDA,3,615299.68,473599.32,238764.55,0.0
2022,02811333000126,EEC ENGENHARIA E CONSTRUCOES LTDA,2,355634.76,355634.76,355634.76,355634.76
2022,32994332000125,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,2,9279671.85,126246.71,31472.44,31472.44
2022,08183516000120,CASAMAX  COMERCIAL LTDA ,2,2870556.0,65163.3,0.0,0.0
2022,38894804000154,NUCLEO ENGENHARIA CONSULTIVA SA,1,30128.0,30128.0,30128.0,30128.0
2022,55069736000108,GEOMETRICA ENGENHARIA DE PROJETOS LTDA,1,24028.4,24028.4,24028.4,24028.4
2022,67192609000180,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,1,2667043.44,0.0,0.0,0.0
2022,03101876000112,DB CONSTRUCOES LTDA,1,2763554.09,0.0,0.0,0.0
2022,04002395000112,LEMAM CONSTRUCOES E COMERCIO SA,1,987267.58,0.0,0.0,0.0
2022,07534937000196,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,1,294751.96,0.0,0.0,0.0
2022,56838949000110,CONSTRUTORA PROGREDIOR LTDA,1,4079562.18,0.0,0.0,0.0
2022,40280308000152,UNO PPP HABITACAO SA,2,9073036.97,0.0,0.0,0.0
2022,45404270000104,CONSORCIO ROY  LETTIERI,1,3998890.9,0.0,0.0,0.0
2022,03302648000100,MATHESIS ENGENHARIA  CONSTRUCAO LIMITADA,3,871654.59,0.0,0.0,0.0
2022,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,3,947781.06,0.0,0.0,0.0
2022,45854245000114,CONSORCIO MACOR  DB,1,2763544.09,0.0,0.0,0.0
2023,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,60,295713583.03,187996064.05,184651215.65,182608770.66
2023,66806555000133,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,54,213792406.79,141084852.55,111045971.51,110864059.41
2023,00352839000000,PROGRAMA PODE ENTRAR - AQUISIÇÕES,1,100000000.0,100000000.0,100000000.0,100000000.0
2023,43677822000114,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,30,156961974.12,56816210.25,49832848.43,41833262.57
2023,66748955000130,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,18,43222047.3,27716098.37,11418778.71,11418778.71
2023,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,13,62506811.63,25167682.66,25114119.88,24612229.73
2023,50203083000194,CONSORCIO CORREGO HOSPITAL JE,1,24920031.25,22602918.15,22532490.51,22532490.51
2023,15108349000119,RODOSERV ENGENHARIA LTDA,5,17661849.5,17661249.71,13174783.78,13174783.78
2023,37802710000145,TRIADE PAVIMENTACAO E CONSTRUCOES SA,9,37660137.08,16232430.74,14700748.1,14700748.1
2023,54883194000140,TRANSVIAS CONSTRUCOES E TERRAPLENAGEM LTDA,5,17442573.47,16199104.01,12177089.99,12177089.99
2023,47218979000132,ARVEK TECNICA E CONSTRUCOES LTDA,9,28962031.76,15157631.81,12667165.57,12667165.57
2023,50203149000146,CONSORCIO CORREGO AGUA PODRE JE,1,22699349.34,12037830.28,12037830.28,12037830.28
2023,04002395000112,LEMAM CONSTRUCOES E COMERCIO SA,23,17528358.75,9475603.43,5648797.04,5648797.04
2023,09052229000144,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,5,10578294.27,9286453.73,5402791.37,5330712.02
2023,67192609000180,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,34,25931627.23,7550277.94,577182.3,523066.89
2023,45240999000184,COENPA INFRAESTRUTURA SA,1,8817152.35,7317152.35,7317152.35,7317152.35
2023,71654446000188,MC ENGENHARIA  E CONSTRUCOES SA,1,6750533.12,6750522.05,5016483.41,5016483.41
2023,01846687000143,GESTOR ENGENHARIA LTDA,1,7962841.44,6662841.44,5622171.7,5622171.7
2023,16927599000143,CONSORCIO MANANCIAIS SAO PAULO,5,13380260.42,6607807.06,6607807.06,6607807.06
2023,56182090000133,CORPOTEC CONSTRUTORA E EMPREENDIMENTOS IMOBILIARIOS LTDA,3,6276323.58,6275623.79,4047563.52,4047563.52
2023,01129913000175,VOS OBRAS E SERVICOS DE CONSTRUCAO CIVIL LTDA,2,5972332.26,5959446.11,4354019.22,4354019.22
2023,02086562000125,NOVA DIMENSAO ENGENHARIA LTDA,1,5866506.96,5864924.85,5864924.85,5864924.85
2023,29994423000156,CONCREJATO SERVICOS TECNICOS DE ENGENHARIA S/A,1,4691347.54,4691347.54,4613462.8,4613462.8
2023,31031932000125,PAV PASSOS CONSTRUCOES LTDA,1,6353654.37,4353450.64,1250385.08,1250385.08
2023,03867171000100,CONSTRUTORA ETAMA LTDA,2,5202606.41,4094933.66,4094933.66,3065036.86
2023,03264493000165,DANG CONSTRUTORA DE OBRAS LTDA,1,4012644.73,4012644.73,4012644.73,4012644.73
2023,97500698000146,IMPERMEAR SERVICOS DE ENGENHARIA LTDA,3,4282969.56,3972622.59,1700613.56,1700613.56
2023,44626011000157,LMM ENGENHARIA E SERVICOS LTDA,6,4982675.48,3684387.14,1821777.49,1480197.37
2023,56838949000110,CONSTRUTORA PROGREDIOR LTDA,14,5995045.7,3474421.68,3298420.42,3298420.42
2023,50851721000183,CONSORCIO MBM,1,3144985.84,3144985.84,2274214.32,2274214.32
2023,04373329000159,VILLANOVA ENGENHARIA E DESENVOLVIMENTO AMBIENTAL LTDA,9,10852729.67,3065679.47,2676536.74,2331297.23
2023,53552691000100,TECLA CONSTRUCOES LTDA,1,3000000.0,3000000.0,0.0,0.0
2023,61699567000273,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,10,2980040.68,2980040.68,2980040.68,1226091.41
2023,48211585000115,SOCIEDADE BENEFICENTE CAMINHO DE DAMASCO,5,2502520.04,2502520.04,2502520.04,2502520.04
2023,49335714000140,TEMAFE ENGENHARIA E CONSTRUCOES LTDA,3,3183139.89,2480725.68,652668.93,210423.78
2023,61699567000192,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,10,2679185.15,2457038.46,2457038.46,2221018.46
2023,13300818000171,EIT ENGENHARIA S A EM RECUPERACAO JUDICIAL,5,4060000.0,2035904.35,2035904.35,2035904.35
2023,06297348000179,DEKTON ENGENHARIA E CONSTRUCAO LTDA,2,6600360.95,1795458.11,8529.3,8529.3
2023,46044392000191,CONSTRUMEDICI ENGENHARIA E COMERCIO LTDA,3,1799363.15,1790786.04,1776745.62,1776745.62
2023,33131079000734,CARL ZEISS DO BRASIL LTDA,1,1696000.0,1696000.0,0.0,0.0
2023,02243019000194,CONSITEC  ENGENHARIA E TECNOLOGIA LTDA,6,2880703.69,1627755.65,0.0,0.0
2023,04780776000122,DP BARROS  PAVIMENTACAO E CONSTRUCAO LTDA,1,3166053.53,1622034.95,0.0,0.0
2023,44239135000503,EGIS  ENGENHARIA E CONSULTORIA LTDA,1,1550604.76,1503547.54,963825.02,963825.02
2023,12856918000116,POAVIAS PAVIMENTACAO LTDA,2,1500000.0,1500000.0,1500000.0,1500000.0
2023,68311216000101,ASSOCIAÇÃO SAUDE DA FAMILIA,8,1495501.79,1495501.59,1495501.59,1102824.85
2023,60742616000160,CASA DE SAUDE SANTA MARCELINA,7,1496869.43,1494889.53,1494889.53,1108330.56
2023,44721630000120,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,4,7006054.75,1395609.25,577597.97,0.0
2023,61687356000130,SERVICO SOCIAL DA CONSTRUCAO CIVIL DO ESTADO DE SAO PAULO  SECONCISP,4,1376087.38,1376087.38,1376087.38,1376087.38
2023,51182145000191,CONSTRUTORA SANDIN LTDA,1,9996179.84,1347690.12,886767.26,886767.26
2023,07717809000188,CONSTRUMAB ENGENHARIA LTDA,2,1344600.01,1344600.01,386939.95,386939.95
2023,51773856000130,CONSORCIO HR,1,10716504.28,1303331.24,0.0,0.0
2023,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,1,1496683.07,1166908.57,0.0,0.0
2023,23139874000120,HABITEM INCORPORACAO E CONSTRUCAO LTDA,3,2048801.86,1149174.7,606004.86,434754.24
2023,57571275000100,FUNDACAO DO ABC,7,1095336.47,1085098.07,1085098.07,495926.61
2023,65035222000195,ERATECNICA ENGENHARIA CONSTRUCOES E SERVICOS LTDA,3,5685407.79,1083297.81,80289.37,0.0
2023,00346953000106,2N ENGENHARIA LTDA,1,4769768.24,1040771.7,124042.59,8722.44
2023,05633207000117,SPALLA ENGENHARIA LTDA,1,3417668.67,1024862.84,646180.09,646180.09
2023,11344038000106,INSTITUTO NACIONAL DE TECNOLOGIA E SAUDE,1,977306.2,977306.2,977306.2,977306.2
2023,08097160000102,AMDS ENGENHARIA E CONSTRUCOES LTDA,1,950000.0,950000.0,379993.55,379993.55
2023,05823840000178,ELEVADORES ORION LTDA,1,1750000.0,787500.0,787500.0,787500.0
2023,12420273000174,R J C SINALIZACAO URBANA LTDA,1,5275247.9,729168.25,0.0,0.0
2023,02542939000103,FBF CONSTRUCOES E SERVICOS LTDA,3,9559573.1,690833.66,0.0,0.0
2023,51803790000184,CONSORCIO UG,1,5077586.12,681513.12,273423.04,0.0
2023,22892801000141,RD CONSTRUCAO REFRIGERACAO COMERCIO SERVICOS E PROJETOS LTDA,2,648341.86,648341.86,597691.42,597691.42
2023,15009784000196,FP PROJETOS EMPREENDIMENTOS LTDA,1,5279085.7,636906.17,9412.31,0.0
2023,05577367000196,CODIGO ENGENHARIA E CONSTRUCOES LTDA,3,1263811.55,601370.82,104970.14,104970.14
2023,24262722000182,H2OBRAS CONSTRUCOES LTDA,1,4270218.07,600586.01,53193.06,0.0
2023,03101876000112,DB CONSTRUCOES LTDA,1,6037045.92,527774.12,464279.97,0.0
2023,51804427000183,CONSORCIO SAUDE - PMSP,2,6224568.22,512069.1,0.0,0.0
2023,19927082000142,TOPCONS ENGENHARIA SERVICOS E LOCACOES LTDA,1,471116.84,471116.83,56585.84,0.0
2023,62533278000181,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,7,2119154.06,315062.76,0.0,0.0
2023,06194976000129,QUALIDA SERVICOS TECNICOS EIRELI,2,309020.62,309020.62,0.0,0.0
2023,50557404000159,CONSTRUTORA KAMILOS LTDA,1,241976.1,241976.1,241976.1,241976.1
2023,51232221000126,ASSOCIACAO COMUNITARIA MONTE AZUL,1,199761.79,199761.79,199761.79,199761.79
2023,50583954000142,ATONANNI CONSTRUCOES E SERVICOS LTDA,1,658060.5,109282.3,0.0,0.0
2023,17792041000160,G PRADO COMERCIO E CONSTRUCAO EIRELI,1,90564.3,90564.3,90564.3,90564.3
2023,07461206000168,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,1,3675017.67,76144.97,14793.04,14793.04
2023,01294872000172,PILAO ENGENHARIA E CONSTRUCOES LTDA,2,1507885.37,75401.86,0.0,0.0
2023,66518267000264,CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM,1,36000.0,36000.0,36000.0,36000.0
2023,43898972000158,CONSTRUTORA ROY LTDA,1,161897.52,28609.92,0.0,0.0
2023,34730331000107,DPT ENGENHARIA E ARQUITETURA LTDA,1,111796.33,9371.66,0.0,0.0
2023,57646374000104,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,2,471098.55,8505.29,0.0,0.0
2023,33534793000188,EMPREITEC CONSTRUCOES ELETRICAS LTDA,1,1900000.0,0.0,0.0,0.0
2023,29863757000190,R2A CONSTRUCOES LTDA,1,373605.9,0.0,0.0,0.0
2023,68382498000138,TOBIAS  FIGUEIREDO CONSTRUCAO COMERCIO E SERVICOS LTDA,1,145201.81,0.0,0.0,0.0
2024,62533278000181,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,38,40018675.97,37081553.65,34610795.5,30747634.57
2024,67192609000180,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,27,31044387.22,27904643.24,19282559.91,14513165.35
2024,66748955000130,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,32,35722575.26,22857254.08,16394807.86,12685991.94
2024,33113646000134,HABITA LOTE 12 SA,14,20916631.59,20706413.68,20706413.68,20587573.58
2024,02542939000103,FBF CONSTRUCOES E SERVICOS LTDA,1,20000000.0,19999910.98,19984307.25,19984307.25
2024,07534937000196,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,10,18727468.8,17400486.24,13320475.26,13317820.85
2024,56838949000110,CONSTRUTORA PROGREDIOR LTDA,37,19509641.95,15863735.14,9739529.65,9317126.01
2024,04002395000112,LEMAM CONSTRUCOES E COMERCIO SA,20,15911451.8,15075531.22,10988735.73,10988735.73
2024,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,8,19181060.83,13986951.88,13986951.88,13986951.88
2024,01065014000156,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,8,14840583.43,12643583.57,12643583.57,12643583.57
2024,05577367000196,CODIGO ENGENHARIA E CONSTRUCOES LTDA,12,12822535.05,11256653.81,4598932.41,1720780.46
2024,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,19,14870436.08,10132520.11,7437429.84,1527103.29
2024,33298127000198,UNO HABITACAO SA,6,9979050.65,9926969.8,9926969.8,9926969.8
2024,02243019000194,CONSITEC  ENGENHARIA E TECNOLOGIA LTDA,18,9875171.99,8448403.52,3915834.13,3865280.35
2024,06273115000136,WEBER CONSULTORIA E ENGENHARIA AMBIENTAL LIMITADA,14,14269815.96,7220252.88,7220252.88,6105440.91
2024,37802710000145,TRIADE PAVIMENTACAO E CONSTRUCOES SA,3,7128601.03,6198264.83,6198264.83,6198264.83
2024,66806555000133,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,6,14963718.95,5526961.31,5526961.31,5526961.31
2024,53619416000159,CONSORCIO LEMAM  CONSITEC  JLA,1,5438354.06,5438354.06,5438354.06,5438354.06
2024,28355223000190,BT COMERCIO E SERVICOS EM ELEVADORES LTDA,1,5436952.42,5436366.99,5414528.29,5414528.29
2024,53904515000182,CONSORCIO PROSAUDE,1,5407269.74,5407269.74,5407269.74,5407269.74
2024,53780577000120,CONSORCIO MAIS SAUDE,1,5368231.64,5368231.64,5368231.64,5368231.64
2024,50851721000183,CONSORCIO MBM,4,4732052.57,4703519.79,3766488.71,3766488.71
2024,57646374000104,MACOR ENGENHARIA CONSTRUCOES E COMERCIO SA,7,5728666.21,4625743.09,3728817.03,3658292.91
2024,04373329000159,VILLANOVA ENGENHARIA E DESENVOLVIMENTO AMBIENTAL LTDA,8,5167328.91,4419165.74,3891312.44,3671200.47
2024,44721630000120,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,5,3744692.32,3744265.06,2541161.72,2541161.72
2024,49723802000119,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,5,8160224.25,3630954.94,2813153.56,2540893.44
2024,00346953000106,2N ENGENHARIA LTDA,6,5947968.1,3171712.69,2848237.18,2848237.18
2024,51803790000184,CONSORCIO UG,3,4436399.87,3069347.45,3069347.45,2834468.4
2024,33534793000188,EMPREITEC CONSTRUCOES ELETRICAS LTDA,2,2879623.49,2879623.49,2879623.49,2879623.49
2024,05633207000117,SPALLA ENGENHARIA LTDA,5,4112445.86,2763623.66,2710827.51,2710827.51
2024,03101876000112,DB CONSTRUCOES LTDA,5,2828321.9,2725706.72,1762478.51,1762478.51
2024,61699567000192,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,2,2719893.89,2719893.89,2719893.89,2719893.89
2024,51182145000191,CONSTRUTORA SANDIN LTDA,5,3110826.85,2706640.78,2419436.28,2419436.28
2024,51773856000130,CONSORCIO HR,2,2663494.19,2663494.19,2663494.19,2663494.19
2024,06316940000170,CONAM  CONSULTORIA AMBIENTAL LTDA,7,4227076.49,2573592.68,2573592.58,1853646.81
2024,01294872000172,PILAO ENGENHARIA E CONSTRUCOES LTDA,3,2564560.39,2548512.71,2334966.86,2334966.86
2024,07461206000168,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,5,2670143.32,2486592.63,1976623.08,1712833.36
2024,51804427000183,CONSORCIO SAUDE - PMSP,1,3586033.05,2442388.87,2442388.87,2442388.87
2024,33598776000104,TEENIMOBILIARIO SA,4,2965229.69,2157202.42,1694869.87,1694869.87
2024,09052229000144,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,4,2133507.56,2133507.56,2133507.56,2133507.56
2024,34730331000107,DPT ENGENHARIA E ARQUITETURA LTDA,5,1921379.63,1827998.57,1527431.15,1527431.15
2024,06297348000179,DEKTON ENGENHARIA E CONSTRUCAO LTDA,4,1737123.0,1612892.88,1612892.88,1612892.88
2024,47218979000132,ARVEK TECNICA E CONSTRUCOES LTDA,1,1663969.49,1510730.85,1510730.85,1510730.85
2024,12420273000174,R J C SINALIZACAO URBANA LTDA,4,1519396.89,1500770.61,1333453.62,1333453.62
2024,54131872000118,CONSORCIO CODIGO BB  HOSPITAL,1,5392755.7,1327380.51,1327380.51,1327380.51
2024,24262722000182,H2OBRAS CONSTRUCOES LTDA,6,1859953.35,1323046.03,1323046.03,1322709.85
2024,15009784000196,FP PROJETOS EMPREENDIMENTOS LTDA,4,2345921.71,1250340.99,1110000.0,1110000.0
2024,15108349000119,RODOSERV ENGENHARIA LTDA,2,1232529.41,1232312.96,956580.9,956580.9
2024,43898972000158,CONSTRUTORA ROY LTDA,1,1194360.08,1194360.08,1194360.08,1194360.08
2024,53640280000169,ENGENHARIA E COMERCIO RIGEL LTDA,2,1177147.68,1177144.68,1177144.68,1177144.68
2024,00688529000140,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,1,1176524.83,1145942.34,1145942.34,761483.12
2024,22687927000184,D M DIAS CHAVES,2,1143644.18,1143644.16,1143644.16,1143644.16
2024,32994332000125,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,3,1615978.11,1106173.38,1106173.38,1106173.38
2024,36157982000177,REP ENGENHARIA E SERVICOS LTDA,1,936308.59,936308.59,762916.47,661854.06
2024,04860624000130,VPP CONSTRUTORA LTDA,1,816313.1,816313.1,816313.1,816313.1
2024,31106680000156,DR3 ENGENHARIA LTDA,1,760182.55,760182.55,760182.55,760182.55
2024,61699567000273,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,1,603320.0,603320.0,603320.0,603320.0
2024,57571275000100,FUNDACAO DO ABC,2,250000.0,250000.0,250000.0,250000.0
2024,11344038000106,INSTITUTO NACIONAL DE TECNOLOGIA E SAUDE,1,249999.72,249999.72,249999.72,249999.72
2024,68311216000101,ASSOCIAÇÃO SAUDE DA FAMILIA,1,249998.95,249998.95,249998.95,249998.95
2024,57632705000149,ENGETAL ENGENHARIA E CONSTRUCOES LTDA,1,162935.24,162935.24,162935.24,162935.24
2024,30037029000109,APENG SERVICOS E CONSTRUCOES LTDA,1,89934.4,89930.66,0.0,0.0
2024,02120261000170,SHOP SIGNS OBRAS E SERVICOS LTDA,1,89270.94,89265.26,0.0,0.0
2024,47061699000163,JNB CONSTRUCOES E SERVICOS LTDA,1,80304.99,80236.6,0.0,0.0
2024,19927082000142,TOPCONS ENGENHARIA SERVICOS E LOCACOES LTDA,1,74357.74,74357.73,74357.73,74357.73
2024,04743858000105,MPE ENGENHARIA E SERVICOS SA,1,71061.37,71061.37,71061.37,71061.37
2024,11823795000154,RAMON AGUILERA PARTICIPACOES E EMPREENDIMENTOS LTDA,1,70026.01,69873.89,0.0,0.0
2024,32402456000174,FRIG ENGENHARIA LTDA,1,68957.97,68783.18,0.0,0.0
2024,08068681000131,ECO PRIME ENGENHARIA LTDA,1,48562.46,48489.11,0.0,0.0
2024,04206255000166,CONSTRUISO ENGENHARIA E EMPREENDIMENTOS LTDA,1,50515.35,44287.1,0.0,0.0
2024,55996615000101,CLD CONSTRUTORA LACOS DETETORES E ELETRONICA LTDA,1,46848.35,35887.47,0.0,0.0
2024,06194976000129,QUALIDA SERVICOS TECNICOS EIRELI,1,27670.78,27670.78,27670.78,27670.78
2024,02811333000126,EEC ENGENHARIA E CONSTRUCOES LTDA,1,16811.28,16806.96,0.0,0.0
